Method,Year,Local,Global,Post-hoc,Ante-hoc,Model-specific,Vision-transformer-specific,Model-agnostic,Class-specific,Class-agnostic,Prediction,Concept,Embedding,Patch Interactions,Feature Relevance,Scalar,Examples,Graph,Text,Attention,Activation,Perturbations,Relevance,Gradient,Prototype-based,Concept-based,Weight-Input-Alignment,Masking-based,Connectivity Constraints,Citation Key,eval_models,eval_dataset,eval_baselines,eval_metrics,localization,only localization,perturbation,only qualitative,user study
A-SAE,2025,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,felArchetypalSAEAdaptive2025,"DINOv2, ViT","ImageNet, their own synthetic datasets (Animals, Birds, Books, Candy, Cards, Cocktails, Flowers, Gems, Landscapes, Planets, Potions, Watches)","Vanilla SAE, TopK SAE, Jump SAE, SNMF, CNMF, K-Means, ICA, Sparse PCA, SVD, SemiNMF, ConvexNMF, PCA","Reconstruction Error (R2), Dead Codes, Stability, OOD Score, Stable Rank, Effective Rank, Coherence, Connectivity, Negative Interference, Plausibility Score, Soft Identifiability Accuracy",0,0,0,0,0
AttEXplore++,2024,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,zhuAttributionEnhancedExplanation2024,"MaxViT-T, ViT-B",ImageNet,"BIG, DeepLIFT, EG, FIG, GIG, Integrated Gradients, MFABA, SG, SM, AGI, AttEXplore",Deletion & Insertion AUC,0,0,1,0,0
Attention Guided CAM,2024,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,leemAttentionGuidedCAM2024,ViT-B,"ImageNet, PASCAL VOC, CUB-200-2011","Rollout, Transformer Attribution","Weakly-supervised localization (Pixel accuracy, IoU, Dice, Precision, Recall), Pixel Perturbation (LeRF, MoRF, ABPC)",1,0,1,0,0
AttnLRP,2024,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,achtibatAttnLRPAttentionAwareLayerwise2024,ViT-B,ImageNet,"Input x Gradient, Integrated Gradients, SmoothGrad, Grad-CAM, Rollout, Grad×Rollout, AtMan, CP-LRP",Perturbation tests (area between the least and most relevant order perturbation curves),0,0,1,0,0
Attribution Rollout,2022,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,xuAttributionRolloutNew2022,ViT-B,"ImageNet, ImageNet-Segmentation","Rollout, Grad-CAM, Transformer Attribution, TAM, attattr","Perturbation tests (Positive/Negative AUC), Weakly-supervised segmentation (AP, AR)",1,0,1,0,0
B-Cos Aligned Transformers,2024,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,tranBCosAlignedTransformers2024,"B-cos versions of ViT-T, ViT-S, Swin-T","TCGA-COAD-20X, Munich-AML-Morphology","Standard ViT and Swin models, Rollout, Raw Attention, Grad-CAM, LRP, Transformer Attribution",Domain expert user study (Ranking according to whether model attends to biomedically relevant features),0,0,0,0,1
B-cos Alignment,2024,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,bohleBcosAlignmentInherently2024,B-cos versions of ViT-B,ImageNet,"Transformer Attribution, GradSAM, Grad-CAM, Rollout, Raw Attention, Input×Gradient, Integrated Gradients","Localization (Grid Pointing Game), Perturbation tests (Positive/Negative AUC, ABC)",1,0,1,0,0
B-cosification,2024,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,aryaBcosificationTransformingDeep2024,"B-cosified versions of ViT-T, Vit-S, ViT-B, ViT-L",ImageNet,"Guided Backprop, Gradient, DeepLIFT, IxG, Integrated Gradients, Grad-CAM",Grid Pointing Game,1,1,0,0,0
Bcos-ViT,2023,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,bohleHolisticallyExplainableVision2023,"Custom B-cos ViT architecture with ViT-B, ViT-T, ViT-S",ImageNet,"Rollout, Raw Attention, Transformer Attribution, Partial LRP, GradSAM, Grad-CAM, Integrated Gradients, IxG","Grid Pointing Game, Perturbation tests (Positive/Negative AUC)",1,0,1,0,0
Beyond Intuition,2023,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,chenIntuitionRethinkingToken2023,"ViT-B, ViT-L, ViT-MAE","ImageNet, ImageNet-Segmentation","Raw Attention, Rollout, GAE, Grad-CAM, Partial LRP, Transformer Attribution","Perturbation tests (Positive/Negative AUC), Segmentation metrics (pixel accuracy, mIoU, mAP, mF1)",1,0,1,0,0
C2F-Explainer,2024,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,dingC2FExplainerExplainingTransformers2024,ViT-B,"ImageNet, COCO, PASCAL VOC, BraTS (Brain Tumor Segmentation)","Rollout, Transformer Attribution, Partial LRP, Grad-CAM, ViT-CX, Raw Attention, TIS","Segmentation metrics (mIoU, Pixel Acc, Dice)",1,0,0,0,0
CAT-XPLAIN,2022,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,khanalCausalityInherentlyExplainable2022,"Custom architecture based on ViT, ViT for post-hoc baseline","MNIST, FMNIST, CIFAR (subsets for binary classification)",post-hoc explainer ViT,Average Causal Effect (ACE),0,0,0,0,0
CDAM,2023,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,brockiClassDiscriminativeAttentionMaps2023,DINO with ViT-S,ImageNet,"Raw Attention, GAE, Token ablation map",-,0,0,0,1,0
Class Representations,2023,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,vilasAnalyzingVisionTransformers2023,ViT-B,ImageNet-S,Transformer Attribution,"Perturbation tests (Positive/Negative AUC),",0,0,1,0,0
ConceptTransformer,2022,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,rigottiAttentionbasedInterpretabilityConcept2022,Custom architecture using ViT backbone,CUB-200-2011 (birds),-,-,0,0,0,1,0
DAAM,2025,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,liaoDynamicAccumulatedAttention2025,"DeiT-S, DeiT-T, DINO-ViT-S, CaiT-S, T2T-ViT, ViT-S, ViT-B, XCiT-M",ImageNet,"RISE, IIA, GAE, Transformer Attribution, Grad-CAM, Grad-CAM++, XGrad-CAM, Layer-CAM, Ablation-CAM, Score-CAM","Deletion & Insertion AUC, Perturbation tests (Positive/Negative AUC), ADP, PIC, IoU",1,0,1,0,0
DIX,2023,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,barkanDeepIntegratedExplanations2023,"ViT-B, ViT-S","ImageNet, ImageNet-Segmentation, COCO, PASCAL VOC","Transformer Attribution, GAE","Perturbation tests (Positive/Negative AUC), Insertion/Deletion AUC, Average Drop Percentage, Percentage Increase in Confidence, Accuracy Information Curve, Softmax Information Curve, Segmentation metrics (Pixel Accuracy, mIoU, mAP, mF1)",1,0,1,0,0
FaCT,2025,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,parchami-araghiFaCTFaithfulConcept2025,Custom architecture based on B-cos ViT-S,ImageNet,"B-cos channels, CRAFT, CRP","C2-score (Concept-consistency), User study interpretability rating, Concept deletion",0,0,1,0,1
FovEx,2024,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,pandaHumaninspiredExplanationsVision2024,ViT-B,"ImageNet-1K, MIT1003 (for human gaze correlation)","Grad-CAM, GAE, RISE, Meaningful Perturbation, Class Embedding Projection","Perturbation tests (Avg % Drop, Avg % Increase, Deletion, Insertion), Energy-based pointing game, Human-gaze Correlation (NSS, AUCJ)",1,0,1,0,0
GAE,2021,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,cheferGenericAttentionmodelExplainability2021,"ViT-B, DETR","MSCOCO, ImageNet","Rollout, Grad-CAM, Partial LRP, Transformer Attribution, Raw Attention","Perturbation tests (Positive/Negative AUC), Weakly-supervised segmentation (AP, AR)",1,0,1,0,0
GCC,2025,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,kwonGranularConceptCircuits2025,ViT-B,ImageNet-1K,"Automatic discovery of visual circuits (AVCD), Visual concept connectome (VCC)","Positive/Negative Ablations (logit drop), Edge Deletion/Insertion, User study",0,0,1,0,1
